148
./saves/copytask/RNN/HS_128_NL_modrelu_lr_0.0002_BS_10_rinit_henaff_iinit_xavier_decay_0_alpha_0.99/400/
Copy task
RNN
Cuda: False
modrelu
128
Update 82, Time for Update: 0.16121768951416016 , Average Loss: 0.12250560522079468, Accuracy: 0.23
Update 83, Time for Update: 0.15137934684753418 , Average Loss: 0.13384248316287994, Accuracy: 0.03
Update 84, Time for Update: 0.15403008460998535 , Average Loss: 0.1317605972290039, Accuracy: 0.18
Update 85, Time for Update: 0.15230226516723633 , Average Loss: 0.14502128958702087, Accuracy: 0.0
Update 86, Time for Update: 0.18928313255310059 , Average Loss: 0.1365635097026825, Accuracy: 0.23
Update 87, Time for Update: 0.17368102073669434 , Average Loss: 0.1673874408006668, Accuracy: 0.0
Update 88, Time for Update: 0.1636514663696289 , Average Loss: 0.12735438346862793, Accuracy: 0.23
Update 89, Time for Update: 0.1812305450439453 , Average Loss: 0.10108213126659393, Accuracy: 0.04
Update 90, Time for Update: 0.16506528854370117 , Average Loss: 0.1021895781159401, Accuracy: 0.28
Update 91, Time for Update: 0.1490175724029541 , Average Loss: 0.10223247110843658, Accuracy: 0.11
Update 92, Time for Update: 0.15425705909729004 , Average Loss: 0.10455441474914551, Accuracy: 0.29
Update 93, Time for Update: 0.14885449409484863 , Average Loss: 0.1305873841047287, Accuracy: 0.03
Update 94, Time for Update: 0.15117835998535156 , Average Loss: 0.12656165659427643, Accuracy: 0.24
Update 95, Time for Update: 0.15226531028747559 , Average Loss: 0.16774380207061768, Accuracy: 0.0
Update 96, Time for Update: 0.15059947967529297 , Average Loss: 0.16061481833457947, Accuracy: 0.19
Update 97, Time for Update: 0.15497660636901855 , Average Loss: 0.1764327436685562, Accuracy: 0.0
Update 98, Time for Update: 0.15076541900634766 , Average Loss: 0.1714339703321457, Accuracy: 0.18
Update 99, Time for Update: 0.1618807315826416 , Average Loss: 0.23209016025066376, Accuracy: 0.0
Update 100, Time for Update: 0.1485731601715088 , Average Loss: 0.12048996984958649, Accuracy: 0.08
Update 101, Time for Update: 0.15137743949890137 , Average Loss: 0.10373308509588242, Accuracy: 0.15
Update 102, Time for Update: 0.15288686752319336 , Average Loss: 0.09429530054330826, Accuracy: 0.29
Update 103, Time for Update: 0.15497708320617676 , Average Loss: 0.09861455857753754, Accuracy: 0.13
Update 104, Time for Update: 0.1493849754333496 , Average Loss: 0.09185312688350677, Accuracy: 0.22
